起始节点,目标节点,关系
虚拟变量,引子,包含
引子,定性因素对房地产价格是否有显著影响,包含
引子,影响商品房价格的因素,包含
引子,成本费用因素,包含
引子,房地产供求因素,包含
引子,经济因素,包含
引子,人口因素,包含
引子,社会因素,包含
引子,行政因素,包含
引子,区域因素,包含
引子,个别因素,包含
引子,房地产投机因素,包含
引子,自然因素,包含
引子,虚拟变量的基本概念,包含
虚拟变量,定量因素,包含
虚拟变量的基本概念,可直接测度的数值型因素,包含
定量因素,虚拟变量的基本概念,包含
定量因素,定性因素（属性因素）,包含
定量因素,定量因素,包含
定量因素,可直接测度的数值型因素,包含
定量因素,可直接测度的数值型因素,包含
定量因素,可直接测度的数值型因素,包含
定量因素,可直接测度的数值型因素,包含
定量因素,可直接测度的数值型因素,包含
定量因素,可直接测度的数值型因素,包含
定量因素,虚拟变量模型类型,包含
定量因素,虚拟变量模型类型,包含
定量因素,虚拟变量模型类型,包含
定量因素,虚拟变量的设置规则,包含
定量因素,虚拟变量的设置规则,包含
定量因素,避免落入“虚拟变量陷阱”,包含
定量因素,避免落入“虚拟变量陷阱”,包含
定量因素,用虚拟变量表示不同截距的回归——加法方式,包含
定量因素,以加法方式引入虚拟解释变量的情形,包含
定量因素,以加法方式引入虚拟解释变量的情形,包含
定量因素,以加法方式引入虚拟解释变量的情形,包含
定量因素,用虚拟变量表示不同斜率的回归——乘法方式,包含
定量因素,以乘法形式引入虚拟解释变量的主要作用,包含
定量因素,以乘法形式引入虚拟解释变量的主要作用,包含
定量因素,以乘法形式引入虚拟解释变量的主要作用,包含
定量因素,回归模型的比较——结构变化检验,包含
定量因素,回归模型的比较——结构变化检验,包含
定量因素,回归模型的比较——结构变化检验,包含
定量因素,交互效应分析,包含
定量因素,*虚拟被解释变量,包含
定量因素,线性概率模型（LPM）,包含
定量因素,线性概率模型的估计,包含
定量因素,随机扰动项ui的非正态性,包含
定量因素,随机扰动项ui的异方差性,包含
定量因素,不满足的约束,包含
定量因素,非线性概率模型,包含
定量因素,Logit模型,包含
定量因素,Logit模型的基本概念,包含
定量因素,Logit模型的特征,包含
定量因素,Logit模型的估计,包含
定量因素,汽车工业,包含
定量因素,中国私人汽车拥有量及其影响因素,包含
定量因素,本章小结,包含
定量因素,虚拟变量设置规则,包含
定量因素,虚拟变量引入方式,包含
虚拟变量,定量因素,包含
虚拟变量,可直接测度的数值型因素,包含
虚拟变量,虚拟变量的基本概念,包含
虚拟变量,定性因素（属性因素）,包含
虚拟变量,定量因素,包含
虚拟变量,可直接测度的数值型因素,包含
虚拟变量,虚拟变量取值为0,包含
虚拟变量,虚拟变量取值为1,包含
虚拟变量,可直接测度的数值型因素,包含
虚拟变量,虚拟变量的作用,包含
虚拟变量的作用,虚拟变量模型类型,包含
虚拟变量的作用,虚拟变量的设置规则,包含
虚拟变量的作用,避免落入“虚拟变量陷阱”,包含
虚拟解释变量的回归,用虚拟变量表示不同截距的回归——加法方式,包含
用虚拟变量表示不同截距的回归——加法方式,以加法方式引入虚拟解释变量的情形,包含
虚拟解释变量的回归,用虚拟变量表示不同斜率的回归——乘法方式,包含
用虚拟变量表示不同斜率的回归——乘法方式,以乘法形式引入虚拟解释变量的主要作用,包含
虚拟解释变量的回归,因素间的交互影响分析,包含
因素间的交互影响分析,提高模型对现实经济现象的描述精度,包含
因素间的交互影响分析,回归模型的比较——结构变化检验,包含
因素间的交互影响分析,应用条件：在现实经济生活中，属性因素也可能影响模型的斜率系数发生变化,包含
因素间的交互影响分析,优势1：用一个回归替代了多个回归，简化了分析过程,包含
因素间的交互影响分析,优势2：可以方便地对模型结构的差异作各种假设检验,包含
因素间的交互影响分析,优势3：合并了的回归增加了自由度，提高了参数估计的精确性,包含
因素间的交互影响分析,注意合并后模型Ui应服从基本假定，特别是所比较的方程的方差应相同，否则会出现异方差,包含
因素间的交互影响分析,交互效应分析,包含
因素间的交互影响分析,应用条件：在实际经济活动中，两个定性变量对被解释变量的影响可能存在一定的交互作用，即一个解释变量的边际效应有时可能要依赖于另一个解释变量,包含
虚拟变量,*虚拟被解释变量,包含
*虚拟被解释变量,作用是对某一经济现象或活动进行“是”与“否”的判断或决策，这在计量经济学中被称为“二项选择”现象。,包含
*虚拟被解释变量,线性概率模型（LPM）,包含
*虚拟被解释变量,线性概率模型的估计,包含
*虚拟被解释变量,随机扰动项ui的非正态性,包含
*虚拟被解释变量,随机扰动项ui的异方差性,包含
*虚拟被解释变量,不满足的约束,包含
*虚拟被解释变量,非线性概率模型,包含
*虚拟被解释变量,Logit模型,包含
*虚拟被解释变量,Logit模型的基本概念,包含
*虚拟被解释变量,Logit模型的特征,包含
*虚拟被解释变量,Logit模型的估计,包含
本章小结,汽车工业,包含
本章小结,中国私人汽车拥有量及其影响因素,包含
本章小结,虚拟变量设置规则,包含
本章小结,虚拟变量引入方式,包含
虚拟变量的基本概念,逻辑思维能力,考察
定性因素对房地产价格是否有显著影响,实证分析能力,考察
影响商品房价格的因素,经济理解能力,考察
成本费用因素、房地产供求因素等,经济理解能力,考察
虚拟变量取值为0 和 虚拟变量取值为1,数学推演能力,考察
虚拟变量的设置规则,逻辑思维能力,考察
避免落入“虚拟变量陷阱”,逻辑思维能力,考察
用虚拟变量表示不同截距的回归——加法方式,数学推演能力,考察
以加法方式引入虚拟解释变量的情形,数学推演能力,考察
用虚拟变量表示不同斜率的回归——乘法方式,数学推演能力,考察
回归模型的比较——结构变化检验,实证分析能力,考察
交互效应分析,实证分析能力,考察
线性概率模型（LPM）,经济理解能力,考察
Logit模型,经济理解能力,考察
汽车工业,实证分析能力,考察
中国私人汽车拥有量及其影响因素,实证分析能力,考察
虚拟变量设置规则,数据处理能力,考察
虚拟变量引入方式,数据处理能力,考察
